text,category,justification
69: a watch with one or more small dials,Object - Timepiece,"Another descriptor focusing on a specific feature of the timepiece, testing detailed object recognition."
70: clothes hanger,Object - Clothing Accessory,"Represents a common clothing item and its purpose, important for understanding everyday objects."
71: a piece of clothing hanging on hanger,Object - Clothing,"Combines the hanger and the item it holds, testing spatial and object relationships."
72: a piece of clothing worn on plastic models,Object - Clothing & Model,"Represents clothing and models, testing the ability to link different object types."
73: leather bag with glossy surface,Object - Bag,"Represents a specific type of bag and its material properties, testing recognition of attributes."
74: backpack,Object - Bag,"A more general bag type, important for scene understanding."
75: open package,Object - Packaging,"Represents a common packaging type, testing recognition of container types."
76: a fish held by people,Human-Object Interaction,Demonstrates interaction between humans and inanimate objects.
77: a person who is fishing with a fishing rod,Outdoor Activity,Represents a common recreational activity taking place outdoors.
78: a fisherman standing on the shore with his body soaked in water,Outdoor Activity,Illustrates a specific outdoor activity with an emphasis on environmental conditions.
79: camera hold on someones shoulder,Camera Perspective,Highlights the use of a camera and its position relative to the subject.
80: a person being interviewed,Human-Human Interaction,"Shows a direct interaction between two people, likely a conversation."
81: a person with microphone hold in hand,Human-Object Interaction,Depicts interaction between a person and a recording device.
82: one open oven,Object,"Represents a single, stationary object – an oven."
83: food in the oven,Object,Shows an object (oven) containing another object (food).
84: oven integrated with cabinet,Object,Demonstrates an appliance (oven) combined with a built-in feature (cabinet).
85: a mask on the face of a doctor or nurse,Medical Setting,Represents a medical professional and a protective element.
86: a doctor or nurse wearing green surgical clothes,Medical Setting,Focuses on a medical professional in a specific type of attire.
87: a person wearing surgical clothes and a mask,Medical Setting,Combines elements of a medical professional and personal protective equipment.
88: a dancing woman with her knees bare,Performance,Shows a human performing a specific activity (dancing) with an emphasis on body exposure.
89: man dancing,Performance,Represents a human engaging in a dance.
90: skirt worn by a dancer,Clothing,Represents an article of clothing worn during a performance.
91: a person playing guitar on stage,Stage Performance,Captures a core activity within a performance setting.
92: a microphone stand used by people,Stage Equipment,Represents props and tools commonly found during stage events.
93: guitar carried by person on stage,Stage Performance,"Illustrates an element of a performance, specifically an instrument being handled."
94: glasses on the face of a person on the stage,Stage Performance - Human Attributes,"Adds a human detail to a stage performance, focusing on an individual."
95: a microphone on the stage,Stage Equipment,Represents a key component necessary for sound amplification during performances.
96: a person standing on the stage with open mouth,Stage Performance - Human Attributes,"Highlights a human action within a stage context, expressing emotion or engagement."
97: aircraft on the ground,Transportation - Ground,Categorizes an object based on its location relative to the ground.
98: aircraft in the air,Transportation - Aerial,Defines the object's state of movement and its location in the sky.
99: a person standing next to the plane,Transportation - Ground & Aerial,Combines the presence of a person on the ground with an aerial vehicle.
100: cable car hanging in the air,Transportation - Aerial,Captures the primary characteristic of a cable car – its movement and location in the air.
101: a person standing on the edge of a funicular,Transportation - Aerial,Places a person in the context of an aerial transport system.
102: carriage of funicular,Transportation - Aerial,Specifies a component of the aerial transport system.
103: an animal under the command of human,Animal Control,"Represents a relationship between humans and animals, specifically control."
104: an animal on stage,Stage Performance - Animals,Places an animal within the context of a stage performance.
105: a person on the stage and in the air,Stage Performance - Dual State,Combines the presence of a person on the stage with an airborne state.
106: a person who embraces another person face to face,Social Interaction,"Represents a core human interaction, crucial for evaluating models' ability to understand and represent relationships."
107: a person holding animals,Possession/Interaction,Tests understanding of human-animal relationships and object manipulation.
108: an animal holding another animal,Possession/Interaction,"Similar to 107, but focusing on inter-animal interactions."
109: woman in wedding dress next to a man in suit,Social Event/Context,Requires understanding of specific social contexts and associated objects.
110: man in suit next to a woman in wedding dress,Social Event/Context,"Mirror image of 109, highlighting context-dependent interpretation."
111: flowers in the hands of a woman in white skirt,Symbolic Representation/Gift Giving,Tests recognition of symbolic objects and their associated events.
112: christmas tree full of decorations,Festive Event/Object,"Represents a specific event and associated objects, important for seasonal understanding."
113: a person wearing santa claus clothes,Costume/Character,Requires recognition of character costumes and their role in a narrative.
114: bag carried by santa claus on the back or in the hand,Costume/Object Interaction,Combines understanding of costume with object manipulation and position.
115: a pen on written paper,Tool/Object Relationship,Tests understanding of basic tools and their relation to written materials.
116: written paper,Material/Context,Represents a fundamental physical object within a context.
117: a person sitting with a pen in his hand,Activity/Tool Interaction,Combines understanding of human activity with object manipulation.
118: a person lying on the billiard table,Activity/Position,Represents a specific activity and physical pose.
119: a billiard club held in a persons hand,Activity/Tool Interaction,Combines activity recognition with object manipulation.
120: a billiard ball touched by a billiard stick,Activity/Interaction,Represents a key element of a specific activity.
121: a chess board surrounded by people,Social Interaction,"Illustrates a scene involving human engagement with a game, highlighting potential social dynamics."
122: a person around the chessboard,Game Play,"Depicts a single individual participating in a game, representing focused activity."
123: chess piece of horse head,Game Component,"Shows a specific element of a game, indicating understanding of the game's rules and components."
124: computer in front of people at the conference table,Business Meeting,"Represents a professional setting with technology, suggesting data analysis or discussion."
125: a person sitting at the conference table,Business Meeting,Reinforces the business context with an individual engaged in a formal setting.
126: white conference table,Scene Setting,"Represents the physical environment of a meeting, contributing to the overall visual context."
127: flower ball on the hands of cheerleaders,Performance,Displays a celebratory element associated with a performance or event.
128: the cheerleader who was lifted,Performance,"Illustrates a dynamic action within a performance, capturing movement and exertion."
129: a person trampled by cheerleaders,Conflict,"Presents a scene of struggle and disruption, indicating a negative interaction."
130: a baseball bat held in the hand,Game Component,"Displays a tool and instrument associated with a sport, signaling competitive activity."
131: an oversized glove worn on the left hand of a baseball player,Game Component,"Highlights a specific piece of equipment used in baseball, demonstrating object recognition."
132: a baseball player ready to bat,Game Play,"Shows a player preparing to perform an action within a sport, capturing action and anticipation."
133: a person who attacks each other in football helmets,Conflict,"Represents a violent scenario with participants wearing protective gear, demonstrating aggressive behavior."
134: white football helmet,Game Component,"Identifies a key item in a sport, signifying protection and participation."
135: a person running in a football helmet,Game Play,"Illustrates movement and action within a sport, depicting physical exertion."
136: a running person in white stockings,Sports – Running,"Clearly depicts a person engaged in a running activity, a common sport."
137: an athlete wearing white stockings on the green field,Sports – Soccer,The presence of “soccer” and the “green field” strongly indicates a soccer (football) game.
138: a soccer player with a soccer at his feet on the green field,Sports – Soccer,"This reinforces the soccer category, explicitly mentioning a “soccer” and a player."
139: a tennis racket held by someone on the tennis court,Sports – Tennis,“Tennis racket” and “tennis court” directly identify this as a tennis scene.
140: a person who wears a hat and holds a tennis racket on the tennis court,Sports – Tennis,Further specifies the tennis context and includes visual details.
141: a person with tennis rackets and feet off the ground,Sports – Tennis,"Shows an action typical of tennis, highlighting player movement."
142: a red table tennis racket held by someone,Sports – Table Tennis,The descriptor “table tennis racket” immediately identifies the sport.
143: table tennis over the table,Sports – Table Tennis,Visualizes a key element of table tennis gameplay – the ball over the table.
144: a person waving table tennis rackets at the table,Sports – Table Tennis,Illustrates a typical action during table tennis matches.
145: indoor volleyball flying in the air,Sports – Volleyball,“Volleyball” and the action of it “flying in the air” denote volleyball.
146: the player who is ready to bat with both feet leaving the ground in the room,Sports – Volleyball,Describes the action of a volleyball player jumping and preparing to hit the ball.
147: indoor volleyball players with hands raised,Sports – Volleyball,Shows a common action associated with volleyball players.
148: ski under the feet of a person,Sports – Skiing,“Ski” clearly identifies the sport of skiing.
149: a person skiing,Sports – Skiing,A simple depiction of a person performing the action of skiing.
150: a skier standing in the snow,Sports – Skiing,Highlights the environment and stance typical of skiing.
151: a person standing on the surfboard,Sports/Recreation,Represents human activity engaging with a sporting equipment.
152: a surfboard on the beach,Equipment,Categorizes an object related to the activity described in 151.
153: surfboard touched by human hands,Interaction,Highlights the interaction between a human and a sporting object.
154: an upsidedown gymnast,Action/Posture,Describes a specific human pose and movement.
155: a gymnast who touches the bar,Action/Posture,Focuses on a particular human movement and interaction with apparatus.
156: an athlete holding the rings with both hands,Action/Posture,Captures a human performing an athletic movement.
157: a smiling person on the swing,Action/Posture,Represents human activity and a specific human pose.
158: swing bench,Equipment,Categorizes an object used for the activity in 157.
159: child on the swing,Action/Posture,Represents a human activity performed by a child.
160: a person jumping into the pool,Action/Posture,Depicts a human performing a water-related activity.
161: a toy in the swimming pool,Object/Environment,Includes an object present within the water environment.
162: a person who only shows the head in the pool,Action/Posture,Represents a specific pose within a water environment.
163: wild lioness,Animal/Wildlife,Categorizes a wild animal.
164: a male lion with a mane,Animal/Wildlife,Classifies an animal with a distinctive feature.
165: a lion lying in the wild,Animal/Wildlife,Represents a wild animal in its natural habitat.
166: parrot on human head,Animal-Human Interaction,Demonstrates a common visual pattern of animals interacting with humans.
167: parrot eating,Animal Action,"Represents a typical animal action, readily identifiable and a basic scene type."
168: parrot on human shoulder,Animal-Human Interaction,"Similar to 166, highlighting interaction between animals and humans in a common pose."
169: a camel with single hump,Animal Morphology,Categorizes based on a key physical characteristic – the number of humps on a camel.
170: camel with double humps,Animal Morphology,Another instance of categorizing by a specific animal feature: the number of camel humps.
171: a prone camel,Animal Pose,"Focuses on the animal’s physical position, a distinct and recognizable pose."
172: redcrowned crane with wings,Animal Morphology & Action,Combines an animal’s physical characteristic (redcrowned crane) with its action (wingspan).
173: redcrowned crane standing on the ground,Animal Pose & Environment,Specifies both the animal’s posture and its surrounding environment.
174: redcrowned crane with head lower than body,Animal Pose,"Describes a specific posture of the crane, essential for recognizing variations."
175: a giant panda eating,Animal Action,"Represents a typical animal behavior, showcasing a basic scene type."
176: a giant panda on its four feet,Animal Pose & Environment,"Combines the animal’s posture with its ground environment, a typical panda arrangement."
177: red panda on the stomach,Animal Pose,Represents a specific and notable posture for the red panda.
178: an autosalon girl leaning against the car,Human Activity & Object Interaction,"Depicts a human interacting with a specific object (car), creating a common scene."
179: car contacted by an autosalon girl,Human-Object Interaction,"Represents human contact with an object, highlighting interaction."
180: an autosalon girl in a skirt,Human Appearance & Clothing,"Focuses on the human’s appearance, specifically their clothing, contributing to scene context."
181: lion dance coat,Costume,Represents a specific garment and associated activity.
182: person in the lion dance clothes,Person/Activity,"Combines a human subject with an activity, highlighting interaction."
183: an upright lion dance,Activity,Focuses solely on the action and its physical representation.
184: rock climber in short,Person/Activity,"Similar to 182, but depicts a different activity involving a human."
185: climbers helmet,Equipment,Represents an item used for a specific activity.
186: barearmed climber,Person/Activity,Highlights a characteristic of a person engaged in an activity.
187: torch held by a person,Person/Equipment,Combines a human subject with a tool used in a context.
188: person holding a torch,Person/Equipment,"Similar to 187, emphasizing human interaction with an object."
189: burning torch,Object/Activity,Focuses on an object in the act of producing a specific effect.
190: a butterfly with flat wings,Object/Feature,Represents a specific visual feature of an object.
191: a butterfly resting on flowers,Object/Environment,Combines an object with its surrounding environment.
192: a butterfly with folded wings resting on a leaf,Object/Feature/Environment,Combines visual attributes with an environmental context.
193: airplane with a smoke trail for show,Object/Effect,Represents a vehicle and the visual effect it creates.
194: the aircraft at the front of the multiaircraft performance array,Object/Context,"Depicts an object within a larger, organized scene."
195: a plane flying to the right,Object/Activity,"Represents a vehicle performing an action, with directional information."
196: a dog with a frisbee in its mouth,Object with Object,"Justification: This demonstrates recognition of a specific object (dog) alongside another object (frisbee), testing basic object detection and relationship understanding."
197: person with frisbee,Object with Object,"Justification: Similar to 196, this highlights the ability to identify a person and associate it with a distinct object, emphasizing part-whole relationships."
198: frisbee in the air,Object in Context,Justification: This illustrates the understanding of an object's dynamic state (in the air) within a scene.
199: a golfer in a hat,Person with Accessory,"Justification: This highlights recognition of a person and the identification of an accessory (hat), testing for attributes and contextual understanding."
200: a person with golf clubs,Person with Object,Justification: This shows the association of a person with a tool (golf clubs) related to a specific activity.
201: golf in the air,Object in Context,"Justification: Analogous to 198, demonstrating understanding of an object's motion and spatial context."
202: a helicopter flying in the air,Object in Context,"Justification: This reinforces the ability to recognize a vehicle and its dynamic state (flying), assessing context and motion understanding."
203: helicopter with door open,Object with State,Justification: This extends object recognition to include a state – the open door – providing a richer representation.
204: helicopter viewed from the bottom,Perspective View,"Justification:  This tests the model's ability to recognize an object from a specific viewpoint, indicating spatial awareness."
205: a well on the ground with its cover open,Object with Object,Justification:  This captures a scene with two distinct objects and their interaction (well and its cover).
206: well with cover on the ground,Object with Object,"Justification:  Similar to 205, it tests recognition of two objects and their spatial relationship."
207: well cover with text on the ground,Object with Attribute,"Justification:  This adds an attribute (text) to an object (well cover), further challenging the model's understanding of object composition."
208: mailbox marked with numbers,Object with Attribute,Justification:  This highlights the recognition of an object (mailbox) and a specific attribute (marked with numbers).
209: red mailbox,Object with Color,"Justification:  This tests the ability to identify an object and describe its color, introducing a basic visual descriptor."
210: green mailbox,Object with Color,"Justification: Similar to 210, this assesses the model's ability to recognize an object and its color attribute."
211: horned deer,Animal Pose - Standing,"This exemplifies a common, static animal pose, useful for evaluating basic object recognition."
212: deer bowing to eat grass,Animal Pose - Interaction,"Captures an interaction between an animal and its environment, testing for understanding of actions."
213: running deer,Animal Pose - Motion,"Demonstrates an animal in motion, crucial for assessing the model’s ability to handle dynamic scenes."
214: crouching kangaroo,Animal Pose - Standing,"Represents a specific posture of an animal, important for pose estimation accuracy."
215: standing kangaroo,Animal Pose - Standing,"A simple, standard pose, enabling assessment of recognition in various scenarios."
216: a kangaroo that has physical contact with another kangaroo,Animal Pose - Interaction,Evaluates the model's ability to recognize and understand interactions between multiple objects.
217: woodpecker on the side of the trunk,Animal Pose - Stationary,"A static animal pose, relevant for evaluating object recognition in a different environment."
218: woodpecker pecking,Animal Pose - Action,Tests the model’s understanding of an animal performing a specific action.
219: a woodpecker with only its head exposed,Animal Pose - Partial View,Highlights the model's ability to recognize objects with partial occlusion.
220: flying eagle,Animal Pose - Motion,"Similar to running deer, this depicts an animal in flight, challenging motion perception."
221: eagle standing on the branch,Animal Pose - Stationary,"A standard animal pose in a particular environment, relevant for pose and scene understanding."
222: an eagle with a white head,Object Attributes - Color,Tests the model’s ability to recognize and process color information about objects.
223: halfbody dolphin on the water,Object Attributes - Shape & Pose,The partial view along with the aquatic setting introduces challenges in object recognition.
224: a dolphin completely out of the water,Object Attributes - Pose & Environment,Tests understanding of an animal in a non-standard pose and its environmental context.
225: a dolphin doing the same action as other dolphins,Animal Pose - Interaction,This highlights the ability to recognize similar actions performed by multiple animals.
226: a seal in the water,Aquatic Animal,Demonstrates understanding of animal location relative to water.
227: a seal on the shore,Aquatic Animal - Terrestrial,Highlights the distinction between aquatic and land-based animal locations.
228: a seal facing up to the sky,Animal Pose/Orientation,Represents an understanding of animal posture and gaze direction.
229: peacock with open screen,Object Interaction,Shows the model’s ability to recognize and describe interaction between objects.
230: fake peacock,Object Identification - Misidentification,Indicates the model’s struggle with distinguishing between real and artificial objects.
231: peacock standing on the grass,Animal Pose/Orientation - Environment,Shows understanding of animal posture in a specific environment.
232: black swan with head facing back,Animal Pose/Orientation - Detailed Appearance,Represents the model’s capacity for detailed descriptions of animal appearance and pose.
233: white swan in the water,Aquatic Animal,Emphasizes the core element of animal location in water.
234: flying swan,Animal Action/Movement,Demonstrates understanding of animal action and movement through space.
235: hippo with open mouth in the water,Animal Pose/Orientation - Detailed Appearance,"Combines aspects of animal pose, detailed description, and context."
236: hippo standing on the bank,Animal Pose/Orientation - Environment,Similar to 231 but with a different environment.
237: hippo in potential water,Animal Location - Ambiguity,Highlights the model’s challenge in precisely defining an animal's location.
238: you can see the moon on the crater,Celestial Object - Contextualization,Demonstrates the ability to connect a celestial object to a geographic feature.
239: partially blocked moon,Celestial Object - Partial Visibility,Showcases understanding of how celestial objects are partially obscured.
240: a house illuminated by the moon,Object Interaction - Light Source,Demonstrates the model’s ability to understand the interaction between objects and light sources.
241: a man in dark glasses,Person with Accessory,"Justification: This describes a person wearing a specific accessory, providing information about appearance."
242: a pair of sunglasses with eyes exposed on the face,Accessory Detail,Justification: This focuses on a detailed description of an accessory – sunglasses – emphasizing a key visual element.
243: a woman with dark glasses showing her eyes,Person with Accessory,"Justification: Similar to 242, this details a person wearing an accessory and highlighting a visual aspect."
244: otter in water,Animal in Environment,"Justification: This represents an animal within a specific environmental context, establishing a scene."
245: otter on the ground,Animal in Environment,"Justification:  Continues the environmental categorization, depicting an animal in a different location."
246: an otter with its face up to the sky,Animal in Environment,Justification:  Further defines an animal’s position and orientation within its surroundings.
247: the woman who is hitting the ball in beach volleyball,Person Performing Action,"Justification: This describes a person engaged in a specific action, introducing dynamic visual content."
248: volleyball hit on the beach,Action and Environment,Justification: Combines a dynamic action (hitting) with the contextual environment of a beach.
249: volleyball players on the beach with their feet off the ground,People Performing Action,Justification:  This highlights multiple people performing an action (playing volleyball) and specifies a movement detail.
250: a person who buy things from the food truck on the street,Person Performing Action,Justification: Represents a person interacting within a specific activity (purchasing from a food truck) in a public setting.
251: a street food cart with an umbrella,Object in Environment,Justification: This presents an inanimate object – a food cart – within a defined environmental context.
252: staff in the food truck on the street,People in Environment,Justification: This depicts people (staff) within the context of a food truck environment.
253: a person who plays music with musical instrument surrounded by spectators on the street,Person Performing Action & Crowd,Justification: Combines a person’s action (playing music) with the presence of an audience (spectators).
254: a person performing acrobatics surrounded by street audience,Person Performing Action & Crowd,"Justification:  Similar to 253, it describes a person's action alongside a surrounding audience."
255: a boxer wearing boxing gloves who is defending,Person Performing Action,Justification: This depicts a person engaged in a specific athletic action (defending) with equipment (boxing gloves) added.
256: an attacking boxer wearing boxing gloves,Sports - Combat,"This image depicts a direct physical confrontation, characteristic of combat sports."
257: the referee presiding over the boxing match,Sports - Officiating,This image shows a figure in a position of authority and oversight within a sporting event.
258: a running dog pulling a sled,Sports - Winter Activities,"This illustrates a sport involving a team and an animal, specifically a winter sport."
259: a sled pulled by a dog,Sports - Winter Activities,"Similar to 258, highlighting a sport utilizing a sled and a drawn animal."
260: a person on dogsleds,Sports - Winter Activities,Further exemplifies a winter sport involving a person and a sled pulled by an animal.
261: an adult athlete with naked upper body in places with pools,Sports - Aquatic,"This showcases an athlete engaging in a water-based sport, specifically focusing on the body's interaction with the water."
262: water polo player with ball,Sports - Aquatic,This clearly represents a team sport played entirely in water.
263: the swimming cap on the head of a water polo player,Sports - Aquatic - Equipment,This illustrates a piece of equipment used within an aquatic sport.
264: barbell lifted above the head,Sports - Strength Training,This image captures a core element of strength training and weightlifting activities.
265: barbell on the chest,Sports - Strength Training,"This demonstrates a classic weightlifting pose, commonly associated with strength training."
266: a weightlifter with barbell below the lower body,Sports - Strength Training,"This depicts another standard weightlifting position, focusing on lower body engagement."
267: the wooden sword in the hand of a kendo player,Sports - Martial Arts,This represents a traditional martial art and its associated weapon.
268: a fencing athlete wearing a helmet,Sports - Martial Arts - Equipment,This image shows protective equipment used during a martial art.
269: a kendo player in battle with another person,Sports - Martial Arts,This depicts an active and combative scene within a martial art.
270: referee of taekwondo match,Sports - Martial Arts - Officiating,This showcases a figure in a position of authority and oversight in a martial arts competition.
271: a taekwondo athlete wearing helmets,Sports & Recreation,Demonstrates a common visual element (helmets) associated with athletic activities.
272: a taekwondo athlete who is kicking,Sports & Recreation,Represents a specific action (kicking) within a sporting context.
273: a kite for kite surfing,Sports & Recreation,Categorizes an equipment item (kite) used in a recreational activity.
274: a person who is surfing kites,Sports & Recreation,Shows a person engaging in a specific sport (kitesurfing).
275: surfboard in kite surfing,Sports & Recreation,Highlights equipment connected to a sports activity.
276: partially damaged car,Accidents & Damage,Represents an event involving harm or destruction.
277: a motorcycle lying on the ground,Accidents & Damage,Illustrates a vehicle accident and its consequences.
278: overturned car,Accidents & Damage,Further emphasizes a scenario of vehicular damage.
279: person covered with armor,Historical & Cultural,Categorizes an item representing a specific historical or cultural practice.
280: the headdress of coser wearing skirt,Fashion & Costume,Represents a specific garment and related accessories used in a performance.
281: a bicycle worn by a helmet rider,Transportation & Safety,Shows a vehicle and associated safety equipment.
282: a cyclist wearing a helmet on a bicycle,Transportation & Safety,Reinforces the theme of transportation and safety measures.
283: the goggles on the face of a cyclist wearing a helmet,Transportation & Safety,Focuses on protective gear related to cycling.
284: the helmet on the head of the person on the slide,Recreation & Safety,Highlights safety equipment used during recreational activities.
285: rope track of slide rope,Recreation & Safety,Illustrates an element of a recreational activity (slide).
286: a pair of gloves on a persons hands on the slide,Activity/Pose,Represents a specific yoga pose and physical exertion.
287: a person who is doing yoga in sleeveless vests,Activity/Pose,"Depicts a yoga pose, highlighting clothing choices and the nature of the activity."
288: woman stretching,Activity/Pose,Clearly showcases a yoga pose emphasizing flexibility and movement.
289: a person who sits with his feet folded on a yoga mat,Activity/Pose,Represents a seated yoga posture demonstrating balance and form.
290: a person squatting on the walking rope,Activity/Pose,Illustrates a physical exercise involving a rope and body positioning.
291: a person who stands upright on the walking rope,Activity/Pose,Demonstrates a posture while using the walking rope for exercise.
292: a person standing on a rope with one foot,Activity/Pose,"Shows a balancing pose on a rope, common in physical training."
293: a person in opentop racing cars,Vehicle/Environment,Categorizes the image based on the presence of racing cars and open-top vehicle design.
294: motorcycle racing car running at a tilt,Vehicle/Environment,Groups this image with racing vehicles and the specific angle of a racing car.
295: an opentop racing car,Vehicle/Environment,Reinforces the categorization of racing vehicles with an open-top design.
296: blue stop sign with white letter p,Object/Sign,Identifies this image as containing a standard traffic sign.
297: single parking space marked,Object/Infrastructure,"Represents a parking space with markings, a common urban infrastructure element."
298: car in parking space,Object/Infrastructure,Categorizes the image based on the presence of a vehicle within a parking area.
299: diabolo on the rope,Object/Activity,Represents the object (diabolo) and its interaction with the rope.
300: diabolo flying in the air,Object/Activity,"Shows the diabolo in motion, demonstrating its movement and activity."
301: a person playing diabolo,Sporting/Recreation,Represents an active human engagement with a specific game.
302: dart stuck on the target,Target Practice/Skill,Clearly depicts the successful outcome of a precision activity.
303: a person with darts,Sporting/Recreation,Shows a participant engaged in a sporting activity.
304: target with darts,Target Practice/Skill,Presents a physical object associated with an action and its result.
